,ID,Title,Year,Runtime,Genres,AvgRating,VoteCount,Directors,Producers,Writers,Actors
0,tt0118589,Glitter,2001.0,104,"Drama,Music,Romance",2.4,23898.0,Vondie Curtis-Hall,Laurence Mark,"Cheryl L. West, Kate Lanier","Mariah Carey, Eric Benét, Max Beesley, Da Brat"
1,tt0120166,The Sorcerer's Apprentice,2001.0,86,"Adventure,Family,Fantasy",4.2,653.0,David Lister,"Elizabeth Matthews, Peter H. Matthews",Brett Morris,"Robert Davi, Kelly LeBrock, Byron Taylor, Roxanne Burger"
2,tt0120630,Chicken Run,2000.0,84,"Adventure,Animation,Comedy",7.1,201714.0,"Peter Lord,Nick Park",David Sproxton,"Karey Kirkpatrick, Mark Burton, John O'Farrell","Mel Gibson, Julia Sawalha, Phil Daniels, Lynn Ferguson"
3,tt0120667,Fantastic Four,2005.0,106,"Action,Adventure,Fantasy",5.7,338503.0,Tim Story,Avi Arad,"Mark Frost, Michael France, Stan Lee, Jack Kirby","Ioan Gruffudd, Michael Chiklis, Chris Evans, Jessica Alba"
4,tt0120679,Frida,2002.0,123,"Biography,Drama,Romance",7.3,93279.0,Julie Taymor,,"Anna Thomas, Hayden Herrera, Clancy Sigal, Diane Lake, Gregory Nava","Salma Hayek, Alfred Molina, Geoffrey Rush, Mía Maestro"
5,tt0120681,From Hell,2001.0,122,"Horror,Mystery,Thriller",6.7,160873.0,"Albert Hughes,Allen Hughes",,"Rafael Yglesias, Alan Moore, Eddie Campbell, Terry Hayes","Johnny Depp, Heather Graham, Ian Holm, Robbie Coltrane"
6,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001.0,178,"Action,Adventure,Drama",8.8,1941121.0,Peter Jackson,"Tim Sanders, Barrie M. Osborne","J.R.R. Tolkien, Fran Walsh, Philippa Boyens","Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean"
7,tt0120804,Resident Evil,2002.0,100,"Action,Horror,Sci-Fi",6.6,281293.0,Paul W.S. Anderson,"Jeremy Bolt, Bernd Eichinger, Samuel Hadida",,"Milla Jovovich, Michelle Rodriguez, Ryan McCluskey, Oscar Pearce"
8,tt0120824,The Shipping News,2001.0,111,Drama,6.7,33579.0,Lasse Hallström,"Irwin Winkler, Linda Goldstein Knowlton, Leslie Holleran","Annie Proulx, Robert Nelson Jacobs","Kevin Spacey, Julianne Moore, Judi Dench, Cate Blanchett"
9,tt0120870,Trance,2002.0,\N,"Action,Comedy,Horror",5.2,62.0,Gary Dean Orona,,"Tyke Caravelli, Ann Ramer","Martin Kove, Tane McClure, Bruce Abbott, Robert Z'Dar"
10,tt0120903,X-Men,2000.0,104,"Action,Adventure,Sci-Fi",7.3,633121.0,Bryan Singer,"Lauren Shuler Donner, Ralph Winter","Tom DeSanto, David Hayter","Patrick Stewart, Hugh Jackman, Ian McKellen, Famke Janssen"
11,tt0120913,Titan A.E.,2000.0,94,"Action,Adventure,Animation",6.6,62956.0,"Don Bluth,Gary Goldman",,"John August, Hans Bauer, Randall McCormick, Ben Edlund","Matt Damon, Drew Barrymore, Bill Pullman, Jim Breuer"
12,tt0120917,The Emperor's New Groove,2000.0,78,"Adventure,Animation,Comedy",7.4,216713.0,Mark Dindal,,"John Norton, Chris Williams, David Reynolds, Stephen J. Anderson, Don Hall","David Spade, John Goodman, Eartha Kitt, Patrick Warburton"
13,tt0121164,Corpse Bride,2005.0,77,"Animation,Drama,Family",7.3,287991.0,"Tim Burton,Mike Johnson",,"Pamela Pettler, Carlos Grangel, John August, Caroline Thompson","Johnny Depp, Helena Bonham Carter, Emily Watson, Tracey Ullman"
14,tt0122459,Return to Me,2000.0,115,"Comedy,Drama,Romance",6.9,22077.0,Bonnie Hunt,Jennie Lew Tugend,"Don Lake, Andrew Stern, Samantha Goodman","David Duchovny, Minnie Driver, Carroll O'Connor, Robert Loggia"
15,tt0125022,Heartbreakers,2001.0,123,"Comedy,Crime,Romance",6.2,56774.0,David Mirkin,"Irving Ong, John Davis","Robert Dunn, Paul Guay, Stephen Mazur","Sigourney Weaver, Jennifer Love Hewitt, Gene Hackman, Ray Liotta"
16,tt0126029,Shrek,2001.0,90,"Adventure,Animation,Comedy",7.9,709581.0,"Andrew Adamson,Vicky Jenson",,"Joe Stillman, William Steig, Ted Elliott, Terry Rossio","Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow"
17,tt0128158,Deadfall,2000.0,86,Horror,4.8,104.0,Vince Di Meglio,,,"Patrick Lawlor, Kirstin Leigh, Audrey Lowe, Brady Fischer"
18,tt0130623,Dinosaur,2000.0,82,"Adventure,Animation,Drama",6.4,64951.0,"Eric Leighton,Ralph Zondag",,"Walon Green, Thom Enriquez, John Harrison, Robert Nelson Jacobs","D.B. Sweeney, Julianna Margulies, Samuel E. Wright, Alfre Woodard"
19,tt0131597,Split,2004.0,700,"Action,Crime,Sci-Fi",5.2,24.0,Chaim Bianco,,,"Sean Miller, Jonny Spanish, Julienne Hanzelka Kim, Debbie Rochon"
20,tt0131704,The Adventures of Rocky & Bullwinkle,2000.0,92,"Adventure,Animation,Comedy",4.3,20884.0,Des McAnuff,Jane Rosenthal,"Jay Ward, Kenneth Lonergan","Robert De Niro, Rene Russo, Piper Perabo, Jason Alexander"
21,tt0132245,Driven,2001.0,116,"Action,Drama,Sport",4.6,42443.0,Renny Harlin,Elie Samaha,"Jan Skrentny, Neal Tabachnick","Sylvester Stallone, Kip Pardue, Til Schweiger, Burt Reynolds"
22,tt0133152,Planet of the Apes,2001.0,120,"Action,Adventure,Sci-Fi",5.7,224865.0,Tim Burton,Richard D. Zanuck,"Pierre Boulle, William Broyles Jr., Lawrence Konner, Mark Rosenthal","Mark Wahlberg, Helena Bonham Carter, Tim Roth, Michael Clarke Duncan"
23,tt0133240,Treasure Planet,2002.0,95,"Adventure,Animation,Family",7.2,127496.0,"Ron Clements,John Musker",,"Terry Rossio, Robert Louis Stevenson, Rob Edwards, Ted Elliott","Joseph Gordon-Levitt, Emma Thompson, Martin Short, Roscoe Lee Browne"
24,tt0134084,Scream 3,2000.0,116,"Horror,Mystery",5.6,157600.0,Wes Craven,"Cathy Konrad, Marianne Maddalena","Kevin Williamson, Ehren Kruger","David Arquette, Neve Campbell, Courteney Cox, Liev Schreiber"
25,tt0134630,Duets,2000.0,112,"Comedy,Drama,Music",6.1,9865.0,Bruce Paltrow,Kevin Jones,John Byrum,"Huey Lewis, Gwyneth Paltrow, Paul Giamatti, Andre Braugher"
26,tt0134847,Pitch Black,2000.0,109,"Action,Horror,Sci-Fi",7.0,248979.0,David Twohy,Tom Engelman,"Jim Wheat, Ken Wheat","Radha Mitchell, Cole Hauser, Vin Diesel, Keith David"
27,tt0134983,Supernova,2000.0,90,"Horror,Sci-Fi,Thriller",4.8,18809.0,"Walter Hill,Francis Ford Coppola,Jack Sholder",,"David C. Wilson, William Malone, Daniel Chuba","James Spader, Peter Facinelli, Robin Tunney, Angela Bassett"
28,tt0138524,Intolerable Cruelty,2003.0,100,"Comedy,Crime,Romance",6.3,100284.0,"Joel Coen,Ethan Coen",Brian Grazer,"Robert Ramsey, Matthew Stone, John Romano","George Clooney, Catherine Zeta-Jones, Billy Bob Thornton, Geoffrey Rush"
29,tt0138749,The Road to El Dorado,2000.0,89,"Adventure,Animation,Comedy",6.9,103280.0,"Bibo Bergeron,Don Paul,Jeffrey Katzenberg",,"Karey Kirkpatrick, Ted Elliott, Terry Rossio","Kevin Kline, Kenneth Branagh, Rosie Perez, Armand Assante"
30,tt0138946,The Yards,2000.0,115,"Crime,Drama,Romance",6.4,22343.0,James Gray,"Kerry Orent, Paul Webster, Nick Wechsler",Matt Reeves,"Mark Wahlberg, Joaquin Phoenix, Charlize Theron, James Caan"
31,tt0139654,Training Day,2001.0,122,"Action,Crime,Drama",7.7,456412.0,Antoine Fuqua,"Robert F. Newmyer, Jeffrey Silver",David Ayer,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger"
32,tt0141399,Isn't She Great,2000.0,95,"Biography,Comedy,Drama",5.3,2517.0,Andrew Bergman,Mike Lobell,"Michael Korda, Paul Rudnick","Bette Midler, Nathan Lane, Stockard Channing, David Hyde Pierce"
33,tt0141907,Town & Country,2001.0,104,"Comedy,Romance",4.5,5151.0,Peter Chelsom,"Fred Roos, Simon Fields, Andrew S. Karsch","Michael Laughlin, Buck Henry","Warren Beatty, Diane Keaton, Nastassja Kinski, Goldie Hawn"
34,tt0141926,U-571,2000.0,116,"Action,War",6.6,84678.0,Jonathan Mostow,"Dino De Laurentiis, Martha De Laurentiis","Sam Montgomery, David Ayer","Matthew McConaughey, Bill Paxton, Harvey Keitel, Jon Bon Jovi"
35,tt0144084,American Psycho,2000.0,102,"Crime,Drama,Horror",7.6,674300.0,Mary Harron,"Edward R. Pressman, Christian Halsey Solomon, Chris Hanley","Bret Easton Ellis, Guinevere Turner","Christian Bale, Justin Theroux, Josh Lucas, Bill Sage"
36,tt0144528,Nutty Professor II: The Klumps,2000.0,106,"Comedy,Romance,Sci-Fi",4.4,52433.0,Peter Segal,,"Paul Weitz, Jerry Lewis, Steve Oedekerk, Barry W. Blaustein, David Sheffield","Eddie Murphy, Janet Jackson, Larry Miller, John Ales"
37,tt0144964,Highlander: Endgame,2000.0,87,"Action,Adventure,Fantasy",4.6,20982.0,Douglas Aarniokoski,,"Joel Soisson, Gregory Widen, Eric Bernt, Gillian Horvath, William N. Panzer","Christopher Lambert, Adrian Paul, Bruce Payne, Lisa Barbuscia"
38,tt0145487,Spider-Man,2002.0,121,"Action,Adventure,Sci-Fi",7.4,852315.0,Sam Raimi,"Laura Ziskin, Ian Bryce","Stan Lee, Steve Ditko, David Koepp","Tobey Maguire, Kirsten Dunst, Willem Dafoe, James Franco"
39,tt0146309,Thirteen Days,2000.0,145,"Drama,History,Thriller",7.3,61293.0,Roger Donaldson,"Armyan Bernstein, Peter O. Almond","David Self, Ernest R. May, Philip D. Zelikow","Kevin Costner, Bruce Greenwood, Shawn Driscoll, Drake Cook"
40,tt0146316,Lara Croft: Tomb Raider,2001.0,100,"Action,Adventure,Fantasy",5.7,215186.0,Simon West,,"John Zinman, Sara B. Cooper, Mike Werb, Michael Colleary, Patrick Massett","Angelina Jolie, Jon Voight, Iain Glen, Noah Taylor"
41,tt0146882,High Fidelity,2000.0,113,"Comedy,Drama,Music",7.4,186151.0,Stephen Frears,Tim Bevan,"Nick Hornby, D.V. DeVincentis, Steve Pink, Scott Rosenberg","John Cusack, Iben Hjejle, Todd Louiso, Jack Black"
42,tt0146984,The Legend of Bagger Vance,2000.0,126,"Drama,Fantasy,Sport",6.7,58532.0,Robert Redford,"Jake Eberts, Michael Nozik","Steven Pressfield, Jeremy Leven","Will Smith, Matt Damon, Charlize Theron, Bruce McGill"
43,tt0149624,All the Pretty Horses,2000.0,116,"Drama,Romance,Western",5.8,15443.0,Billy Bob Thornton,Robert Salerno,"Cormac McCarthy, Ted Tally","Matt Damon, Penélope Cruz, Henry Thomas, Angelina Torres"
44,tt0153517,Jackpot,2005.0,57,"Adult,Crime,Mystery",,,,,,
45,tt0156323,Screwed,2000.0,81,"Comedy,Crime",5.6,9373.0,"Scott Alexander,Larry Karaszewski",Robert Simonds,,"Norm MacDonald, Dave Chappelle, Elaine Stritch, Danny DeVito"
46,tt0156812,My Dog Skip,2000.0,95,"Comedy,Drama,Family",7.0,21057.0,Jay Russell,"Mark Johnson, John Lee Hancock, Broderick Johnson","Willie Morris, Gail Gilchriest","Frankie Muniz, Kevin Bacon, Diane Lane, Luke Wilson"
47,tt0156841,The Next Best Thing,2000.0,108,"Comedy,Drama,Romance",4.7,11553.0,John Schlesinger,"Leslie Dixon, Linne Radmin, Tom Rosenberg",Tom Ropelewski,"Madonna, Rupert Everett, Benjamin Bratt, Illeana Douglas"
48,tt0157472,Clockstoppers,2002.0,94,"Action,Adventure,Comedy",5.2,14859.0,Jonathan Frakes,Gale Anne Hurd,"Rob Hedden, Andy Hedden, J. David Stem, David N. Weiss","Jesse Bradford, French Stewart, Paula Garcés, Michael Biehn"
49,tt0158622,The Flintstones in Viva Rock Vegas,2000.0,90,"Comedy,Family,Romance",3.7,24820.0,Brian Levant,,"Jim Cash, William Hanna, Joseph Barbera, Deborah Kaplan, Harry Elfont","Mark Addy, Stephen Baldwin, Kristen Johnston, Jane Krakowski"
50,tt0159273,Behind Enemy Lines,2001.0,106,"Action,Drama,Thriller",6.4,110123.0,John Moore,John Davis,"Jim Thomas, John Thomas, David Veloz, Zak Penn","Gene Hackman, Owen Wilson, Gabriel Macht, Charles Malik Whitfield"
51,tt0159365,Cold Mountain,2003.0,154,"Adventure,Drama,Romance",7.2,153186.0,Anthony Minghella,"Ron Yerxa, Albert Berger, William Horberg, Sydney Pollack",Charles Frazier,"Jude Law, Nicole Kidman, Renée Zellweger, Eileen Atkins"
52,tt0160009,The Art of War,2000.0,117,"Action,Adventure,Crime",5.7,30536.0,Christian Duguay,"Nicolas Clermont, Ron Yuan","Wayne Beach, Simon Barry","Wesley Snipes, Donald Sutherland, Maury Chaykin, Anne Archer"
53,tt0160127,Charlie's Angels,2000.0,98,"Action,Adventure,Comedy",5.6,192791.0,McG,,"Ben Roberts, Ryan Rowe, Ed Solomon, John August, Ivan Goff","Cameron Diaz, Drew Barrymore, Lucy Liu, Bill Murray"
54,tt0160184,Eye See You,2002.0,96,"Crime,Thriller",5.3,28829.0,Jim Gillespie,"Karen Kehela Sherwood, Ric Kidney","Howard Swindle, Ron L. Brinkerhoff","Sylvester Stallone, Charles S. Dutton, Polly Walker, Kris Kristofferson"
55,tt0160399,Impostor,2001.0,95,"Drama,Mystery,Sci-Fi",6.1,24275.0,Gary Fleder,,"David Twohy, Philip K. Dick, Scott Rosenberg, Caroline Case, Ehren Kruger","Shane Brolly, Vincent D'Onofrio, Gary Sinise, Madeleine Stowe"
56,tt0160434,Housebound,2000.0,89,Thriller,4.2,227.0,Mari Kornhauser,Louis Nader,,"Katharina Wressnig, Peter Sarsgaard, Angeline Ball, Geoffrey Lower"
57,tt0160484,Lost Souls,2000.0,97,"Drama,Horror,Thriller",4.8,11219.0,Janusz Kaminski,"Meg Ryan, Nina R. Sadowsky","Pierce Gardner, Betsy Stahl","Winona Ryder, Ben Chaplin, Sarah Wynter, Philip Baker Hall"
58,tt0160706,The Prodigy,2005.0,120,"Crime,Drama,Thriller",5.3,916.0,William Kaufman,David Rucker,,"Holt Boggs, Glen Vorhis, Matt Beckham, Diana Lee Inosanto"
59,tt0160797,Rules of Engagement,2000.0,128,"Drama,Thriller,War",6.4,49494.0,William Friedkin,"Scott Rudin, Richard D. Zanuck","Jim Webb, Stephen Gaghan","Tommy Lee Jones, Samuel L. Jackson, Guy Pearce, Ben Kingsley"
60,tt0161081,What Lies Beneath,2000.0,130,"Drama,Horror,Mystery",6.6,132228.0,Robert Zemeckis,"Jack Rapke, Steve Starkey","Clark Gregg, Sarah Kernochan","Harrison Ford, Michelle Pfeiffer, Katharine Towne, Miranda Otto"
61,tt0161083,What's the Worst That Could Happen?,2001.0,94,"Comedy,Crime",5.4,16440.0,Sam Weisman,"David Hoberman, Ashok Amritraj, Wendy Dytman","Donald E. Westlake, Matthew Chapman","Martin Lawrence, Danny DeVito, John Leguizamo, Glenne Headly"
62,tt0161539,Max,2000.0,85,Crime,4.2,183.0,Trine Piil Christensen,"Bo Ehrhardt, Birgitte Hald",Bent E. Rasmussen,"Sidse Babett Knudsen, Nicolaj Kopernikus, Nikolaj Lie Kaas, Paprika Steen"
63,tt0161860,Nowhere in Africa,2001.0,141,"Biography,Drama,History",7.5,13737.0,Caroline Link,Peter Herrmann,Stefanie Zweig,"Juliane Köhler, Merab Ninidze, Matthias Habich, Sidede Onyulo"
